respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Responde una de estas tres preguntas, la que prefieras responder:1. Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar sobre tu futuro.2. Cuéntanos una situación que haya sucedido en tu institución educativa que te haya impactado particularmente positiva o negativamente.3. Cuéntanos una situación que haya sucedido en tu institución educativa que te haya hecho pensar en que cosas se pueden mejorar en tu institución.Describe la situación, y lo que pasó.Comparte tu experiencia / tu ejemplo aquí:",La historia que contaste te genera...,¿Con que frecuencia sucede tu historia? ,¿Con que temas esta relacionada tu historia? ,Mi experiencia produjo...,"Pensando en la experiencia que compartí, me enfoqué en:",En mi experiencia los estudiantes aprenden a través de...,Mi foco estuvo en cultivar en los estudiantes…,Los estudiantes aprenden a través de: ,Las decisiones fueron influenciadas por…,Mi papel como maestro fue ,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes se les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,Tipo de Institución,En que trayectoria enseña,Género,Edad,Nivel Educativo
12522231158,402064447,2021-03-25 07:49:28,2021-03-25 08:34:58,186.168.128.59,,,,,Sí,VALLE DEL CAUCA,isaias gamboa,es zona de ladera y presenta tereo muy erosionado,Tristeza,De vez en cuando,El cuidado del medio ambiente,,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Reflexionar y comprender,Maestros y rectores,Ayudar a estudiantes a alcanzar sus objetivos,40,50,51,Oficial,Básica Primaria,Mujer,60 a 69 años,Especialista
12522229775,402064447,2021-03-25 07:41:24,2021-03-25 07:56:12,186.27.144.46,,,,,Sí,VALLE DEL CAUCA,ISAIAS GAMBOA,UN ESTUDIANTE QUE TENIA MUCHOS PROBLEMAS FAMILIARES Y ERA BASTANTE AGRESIVO CON SUS COMPAÑEROS,Tristeza,Con frecuencia,Mi relación con los estudiantes,Resultados interesantes,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Experimentar y crear,Maestros y rectores,Dar soporte emocional a los estudiantes,25,50,25,Oficial,Básica Primaria,Mujer,50 a 59 años,Licenciado
12522226716,402064447,2021-03-25 07:38:47,2021-03-25 08:12:10,186.168.117.210,,,,,Sí,VALLE DEL CAUCA,ISAIAS GAMBOA,"Al enfrentarnos desde marzo 2020 al trabajo desde casa haciendo uso de las herramientas tecnológicas los profesores tuvimos resignificar nuestro quehacer pedagógico. Tocó centrarnos en un trabajo integrado con diferentes áreas, también pensar en resignificar las temáticas a trabajar desde las diferentes asignaturas y hacerlas interesantes para los estudiantes. Entonces mi asignatura lengua castellana se convirtió en un eje articulador para trabajar guías integradas. ",Orgullo/Satisfacción,Con frecuencia,Trabajo en equipo,Resultados positivos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Reflexionar y comprender,Maestros y rectores,Ayudar a estudiantes a alcanzar sus objetivos,54,53,55,Oficial,Básica Secundaria,Mujer,60 a 69 años,Especialista
12522216731,402064447,2021-03-25 07:31:16,2021-03-25 07:51:12,181.206.42.151,,,,,Sí,VALLE DEL CAUCA,I.E Isaías Gamboa,"El estar en la situación me ha hecho pensar que así como la situación de la pandemia a hecho cambiar muchas dinámicas sociales, también es necesario que los docentes se capaciten en la virtualidad empleando instrumentos que optimizan el trabajo, pues  dado a que hice mi carrera virtual, he podido compartir páginas o plataformas para ello  para hacer ejercicios interactivos, marcar asistencia por plataformas como classdojo o ejercicios o tareas sincrónicas o así crónicas por quizziz y otras herramientas que además de ser muy prácticas y  atractivas para los estudiantes también los hace competentes en la era digital",Motivación,Con frecuencia,Tecnologías y herramientas digitales,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Experimentar y crear,Comprensión del mundo que los rodea,Experimentar y crear,Maestros y rectores,Abrir nuevos mundos para los estudiantes,5,81,100,Oficial,Básica Secundaria,Mujer,30 a 39 años,Licenciado
12522197732,402064447,2021-03-25 07:33:39,2021-03-25 07:46:35,186.113.54.105,,,,,Sí,VALLE DEL CAUCA,Isaias Gamboa,la situación esta relacionada con una capacitación  sobre tecnologia que me ayudo a fortalecer esta competencia ya que no conocia mucho de esto,Motivación,Con frecuencia,Tecnologías y herramientas digitales,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Experimentar y crear,Comprensión del mundo que los rodea,Experimentar y crear,La IE y la secretaría,Abrir nuevos mundos para los estudiantes,0,0,0,Oficial,Preescolar,Mujer,50 a 59 años,Magister
12522184109,402064447,2021-03-25 07:29:23,2021-03-25 07:41:34,186.81.103.202,,,,,Sí,VALLE DEL CAUCA,Isaias Gamboa,2. El cambio a la modalidad de educación remota debido a la pandemia,Motivación,Con frecuencia,Tecnologías y herramientas digitales,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Aplicar lo aprendido,Comprensión del mundo que los rodea,Aplicar lo aprendido en cosas concretas,La IE y la secretaría,Ayudar a estudiantes a alcanzar sus objetivos,0,0,0,Oficial,Básica Primaria,Hombre,50 a 59 años,Especialista
12522172435,402064447,2021-03-25 07:28:08,2021-03-25 07:37:55,186.146.119.46,,,,,Sí,VALLE DEL CAUCA,I.E. ISAIAS GAMBOA,"la pandemia, que ha motivado y obligado al uso de herramientas informáticas para conectarse con los estudiantes",Motivación,Con frecuencia,Tecnologías y herramientas digitales,Resultados mixtos,El desarrollo socioemocional de mis estudiantes,Experimentar y crear,Habilidades prácticas para la vida para una futura empleabilidad,Experimentar y crear,La IE y la secretaría,Abrir nuevos mundos para los estudiantes,51,50,51,Oficial,En más de una,Hombre,50 a 59 años,Profesional no Licenciado
12522157022,402064447,2021-03-25 07:08:05,2021-03-25 07:33:11,200.29.124.130,,,,,Sí,VALLE DEL CAUCA,INSTITUCIÓN EDUCATIVA ISAIAS GAMBOA. SEDE LA INMACULADA,En mi caso la deficiencia en el internet genera impotencia a la hora de trabajar con los estudiantes. es muy común y siempre se presenta. ocurre siempre.,Impotencia,Con frecuencia,Tecnologías y herramientas digitales,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Experimentar y crear,Buenas bases para la compresión de futuros aprendizajes,Experimentar y crear,La IE y la secretaría,Abrir nuevos mundos para los estudiantes,50,30,70,Oficial,Básica Primaria,Mujer,50 a 59 años,Especialista
12522155448,402064447,2021-03-25 07:22:42,2021-03-25 07:32:31,191.156.45.22,,,,,Sí,VALLE DEL CAUCA,IE Isaías Gamboa ,"Situación 1, al inicio del año varias docentes se fueron pensionados, narrando las miles de cosas que lograron en su tiempo educando, lo positivo, lo negativo y sus experiencias personales y eso me gusto, ver como se les reconocía tantos años de dedicación",Motivación,De vez en cuando,Mi aporte a la humanidad y al mundo,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Reflexionar y comprender,Comprensión del mundo que los rodea,Reflexionar y comprender,Maestros y rectores,Abrir nuevos mundos para los estudiantes,84,50,100,Oficial,Básica Primaria,Hombre,30 a 39 años,Licenciado
12522143701,402064447,2021-03-25 07:22:28,2021-03-25 07:28:47,191.156.6.229,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa,El momento en que sucedió lo de la pandemia y tuvimos que quedarnos en casa y lo que movio a los docentes y directivos y comunidad a pensarnos en como acceder a nuestros estudiantes y familias para seguir adelante  con la educación desde casa,Motivación,Casi nunca,Trabajo en equipo,Resultados mixtos,El desarrollo socioemocional de mis estudiantes,Experimentar y crear,Buenas bases para la compresión de futuros aprendizajes,Aplicar lo aprendido en cosas concretas,Maestros y rectores,Abrir nuevos mundos para los estudiantes,80,81,80,Oficial,Preescolar,Mujer,50 a 59 años,Licenciado
12522117646,402064447,2021-03-25 06:59:24,2021-03-25 07:20:57,190.1.204.31,,,,,Sí,VALLE DEL CAUCA,INSTITUCIÓN EDUCATIVA ISAIAS GAMBOA,"Pregunta 3:  En aquellos tiempos ,cuando yo era docente de Bachillerato, en la Sede Aguacatal de i insttución, se escontraban cuatro estudiantes en embvarazo, estabamos iniciando un proyecto de educacin sexual, y decidi que era una situacion propia´para tratar de mejirar esta situacion de los embarazos en adolescentes y fue así como se logró mejorar un poco esta situación de nuestras estudiantes, aunque tristemente una de ellas, resbaló , perdió su bebe  y estuvo muy enferma, pero esta stuacion ha mejirado, creo que fue una motivacion para emprender con amor, este tipo de acciones con nuestras queridas chicas  estudiantes. Aallí les mostramos la importancia que tiene la educación sexual .",Motivación,De vez en cuando,Mi relación con los estudiantes,Resultados interesantes,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Comprensión del mundo que los rodea,Aplicar lo aprendido en cosas concretas,Maestros y rectores,Dar soporte emocional a los estudiantes,1,0,0,Oficial,Básica Primaria,Mujer,50 a 59 años,Licenciado
12522117249,402064447,2021-03-25 07:04:30,2021-03-25 07:25:17,181.60.126.75,,,,,Sí,VALLE DEL CAUCA,institución Educativa ISAIAS GAMBOA,2.EL COMO LOS MAESTRO ASUMEN SU ROL EN TIEMPOS DE PANDEMIA Y CUAL HA SIDO LA RESPUESTA DE LA COMUNIDAD,Orgullo/Satisfacción,Con frecuencia,Tecnologías y herramientas digitales,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Aplicar lo aprendido,Comprensión del mundo que los rodea,Aplicar lo aprendido en cosas concretas,Maestros y rectores,Dar soporte emocional a los estudiantes,95,60,90,Oficial,Básica Secundaria,Hombre,50 a 59 años,Licenciado
12522095976,402064447,2021-03-25 07:02:46,2021-03-25 07:15:53,186.86.52.117,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa,Los estudiantes no tienen una buena lectura y esto ha hecho que haya un bajo puntaje en las pruebas saber 11. la forma de abordar las clases desde mi área,Motivación,Con frecuencia,Trabajo en equipo,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Reflexionar y comprender,Comprensión del mundo que los rodea,Aplicar lo aprendido en cosas concretas,Maestros y rectores,Abrir nuevos mundos para los estudiantes,17,50,92,Oficial,Básica Secundaria,Mujer,40 a 49 años,Licenciado
12522090575,402064447,2021-03-25 07:05:26,2021-03-25 07:11:47,181.62.54.39,,,,,No,VALLE DEL CAUCA,INSTITUCIÓN EDUCATIVA ISAÍAS GAMBOA,"Le negaron el cupo a un niño con diagnóstico de TDAH  que previamente tuve en mi grupo y dado que el profesor con el que continuó no lo supo ""manejar"" le fue negado el cupo.",Impotencia,Casi nunca,Mi relación con los estudiantes,Resultados negativos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Buenas bases para la compresión de futuros aprendizajes,Reflexionar y comprender,Maestros y rectores,Dar soporte emocional a los estudiantes,50,50,75,Oficial,Básica Primaria,Mujer,40 a 49 años,Magister
12522090135,402064447,2021-03-25 07:05:10,2021-03-25 07:11:40,181.50.102.184,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa,La situación  de pandemia ha afectado a muchos jóvenes de la institución  y algunos ee ellos no se sienten seguros estudiando desde casa,Motivación,Con frecuencia,Tecnologías y herramientas digitales,Resultados mixtos,El desarrollo socioemocional de mis estudiantes,Experimentar y crear,Habilidades prácticas para la vida para una futura empleabilidad,Reflexionar y comprender,Maestros y rectores,Ayudar a estudiantes a alcanzar sus objetivos,37,57,46,Oficial,Básica Secundaria,Mujer,50 a 59 años,Licenciado
12522073775,402064447,2021-03-25 07:02:13,2021-03-25 07:06:34,186.168.112.12,,,,,Sí,VALLE DEL CAUCA,Isaías Gamboa ,El trabajo colaborativo de los maestros en pro de alcanzar metas,Alegría,Con frecuencia,Trabajo en equipo,Resultados positivos,El desarrollo socioemocional de mis estudiantes,Reflexionar y comprender,Habilidades prácticas para la vida para una futura empleabilidad,Experimentar y crear,Estudiantes y padres,Ayudar a estudiantes a alcanzar sus objetivos,77,61,85,Oficial,Básica Secundaria,Mujer,50 a 59 años,Magister
