respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ",DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,"Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:","De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó",Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12600008311,402650228,2021-04-23 10:05:24,2021-04-23 10:23:09,181.52.231.234,,,,,Sí,BOGOTÁ,Santa Teresita,te enseñó algo nuevo,Me enseñó algo nuevo es como algo que no savias que havia y te lo enseñan no sabia algunas cosas y te lo mostraron ,Las enseñanzas ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,50,50,100,Esperanza,Con frecuencia,Lo que hago en las horas de clase,5,11 a 13 años,No se,Hombre
12600004399,402650228,2021-04-23 09:51:20,2021-04-23 10:19:42,201.219.246.67,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Un dia en la escuela el profesor nos enseño la division por 2 cisfras y una vez terminada la clase me quedo la curiosidad de aprender la division por 3 cifras,LA CLASE QUE ME DEJO CURIOSIDAD,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,1,1,50,Felicidad,Con frecuencia,Cómo resolver conflictos,6,11 a 13 años,Bachiller,Hombre
12600001615,402650228,2021-04-23 09:51:15,2021-04-23 10:19:30,181.129.162.10,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Artística me pusieron ha ser un Dibujo Muy lindo y me gustó,Artística,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,83,100,Felicidad,Una vez,El trabajo en equipo,5,8 a 10 años,Bachiller,Mujer
12600000682,402650228,2021-04-23 09:56:08,2021-04-23 10:19:02,190.121.139.2,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,"El estudiar no es lo mismo en lo presencial, porque en la presencial enseñan más cosas",Profesores vs estudiantes,Me dio curiosidad por saber más,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,70,79,90,Esperanza,Rara vez,El trabajo en equipo,5,8 a 10 años,Bachiller,Mujer
12599999757,402650228,2021-04-23 10:07:32,2021-04-23 10:19:33,181.52.172.167,,,,,No,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Que el año pasado me pasaron de grado por que estaba capasitada para ese grado y eso me motivo a aprender más,Aprender mas ,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,51,44,Satisfacción/orgullo,Rara vez,Mi aporte a la humanidad/al mundo/a los demás,5,11 a 13 años,Bachiller,Mujer
12599995403,402650228,2021-04-23 10:07:04,2021-04-23 10:17:20,201.219.246.67,,,,,Sí,CAUCA,Santa Teresita,te enseñó algo nuevo,Aprendí a manejar un dispositivo de tecnologico,#megustaprender ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,50,45,60,Felicidad,Todo el tiempo,La forma cómo los profesores enseñan,5,8 a 10 años,Bachiller,Hombre
12599993639,402650228,2021-04-23 10:01:10,2021-04-23 10:20:17,186.86.92.199,,,,,No,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Ami me interesa aprender más de lo que se en matemáticas por qué se que matemáticas es muy importante aprender,Aprendamos un poco más de matemáticas,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,69,100,Felicidad,Todo el tiempo,Relación con los profesores,5,8 a 10 años,Técnico,Hombre
12599992653,402650228,2021-04-23 10:07:56,2021-04-23 10:16:26,190.121.139.4,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,ciencias naturales por que nos enseña a prender de la naturalesa,aprendisaje,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,65,71,50,Esperanza,No se,Cómo resolver conflictos,6,11 a 13 años,Bachiller,Mujer
12599989958,402650228,2021-04-23 09:59:38,2021-04-23 10:16:58,191.106.167.49,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te confundió,Una vez en clase de geometría no entendí como hallar los perímetros de las figuras,#Quiero Aprender Más.,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,7,10,11,no está seguro,Rara vez,La forma cómo los profesores enseñan,6,11 a 13 años,No se,Hombre
12599983524,402650228,2021-04-23 09:55:27,2021-04-23 10:15:38,190.108.76.129,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te confundió,Los proferdores nomesplicavan bien y poreso me comfumdia,#Talleres confusos,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,24,100,100,Satisfacción/orgullo,Rara vez,Relación con los compañeros,6,14 a 16 años,No se,Hombre
12599981787,402650228,2021-04-23 10:02:39,2021-04-23 10:13:00,181.129.173.146,,,,,Sí,CAUCA,Santa Teresita,te enseñó algo nuevo,Me gusta mucho inglés porque me enseña algo  nuevo,Los números me gustaron mucho en inglés ,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,0,0,0,Felicidad,No se,Cómo resolver conflictos,6,11 a 13 años,Bachiller,Hombre
12599981776,402650228,2021-04-23 09:56:56,2021-04-23 10:13:39,181.129.173.146,,,,,No,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,La escuela me gustó mucho porque aprendí más ,Sede Santa Teresita,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Entendernos y darnos soporte emocional,80,50,50,Felicidad,Una vez,La forma cómo los profesores enseñan,6,11 a 13 años,No se,Mujer
12599981650,402650228,2021-04-23 09:59:33,2021-04-23 10:13:01,186.81.193.113,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te confundió,Porque fue virtual y no es lo mismo aprender cuando iba a las clases presenciales porque el Internet se   apagaba cada rato y me ya que la profesora no tenia paciencia con los alumnos ,Si,Me dio curiosidad por saber más,Mi país/el mundo,Entender a lo que pasa a mi alrededor,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,0,91,93,no está seguro,Con frecuencia,La forma cómo los profesores enseñan,5,8 a 10 años,Bachiller,Mujer
12599978897,402650228,2021-04-23 09:57:58,2021-04-23 10:12:28,190.147.166.35,,,,,No,VALLE DEL CAUCA,Santa Teresita,te confundió,Aprender más inglés porque aveces no entiendo ,Quiero aprender bien inglés,Me sentí confundido/no entendí nada,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,0,81,89,no está seguro,Con frecuencia,Mi aporte a la humanidad/al mundo/a los demás,6,14 a 16 años,No se,Mujer
12599976333,402650228,2021-04-23 10:06:16,2021-04-23 10:12:14,204.199.90.207,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Me en seño algo que ahora ya se,Aprende para saber ,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,0,1,0,Felicidad,Con frecuencia,La forma cómo los profesores enseñan,6,11 a 13 años,Bachiller,Mujer
12599973843,402650228,2021-04-23 09:53:32,2021-04-23 10:11:04,204.199.90.207,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Esta ba en matematicas y  me en  canto por que  meiso recordar to de peque ño  cuando me estaban  en seyando   suma  y resta  y  apren di a cordar ,Las matematicas,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Ser más creativo,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,18,10,16,Felicidad,Una vez,La forma cómo los profesores enseñan,6,11 a 13 años,Bachiller,Hombre
12599971764,402650228,2021-04-23 10:06:25,2021-04-23 10:10:44,181.52.140.127,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Me enseñaron muchas materias ,#mas escuela,Aprendí algo nuevo,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,Felicidad,Todo el tiempo,El trabajo en equipo,5,8 a 10 años,Postgrado,Hombre
12599971746,402650228,2021-04-23 10:05:45,2021-04-23 10:10:43,201.219.246.67,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Me gusta el colegio mucho ,No,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,Felicidad,No se,Cómo resolver conflictos,4,11 a 13 años,No se,Hombre
12599971678,402650228,2021-04-23 10:02:21,2021-04-23 10:17:10,190.108.76.94,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,,,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,Satisfacción/orgullo,Todo el tiempo,La forma como los profesores me evalúan,5,11 a 13 años,Bachiller,Hombre
12599971179,402650228,2021-04-23 09:57:33,2021-04-23 10:10:17,190.121.139.4,,,,,No,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,En una clase de Ciencias naturales física donde nos pusieron a hacer un experimento  pero la verdad no lo entendí casi pero luego le escribí a una compañera y ella me explicó y la entendí ya que no había entendido lo que tocaba hacer ,#Noentendiunclase,Me sentí confundido/no entendí nada,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,77,100,31,Esperanza,Rara vez,Relación con los compañeros,6,11 a 13 años,Bachiller,Mujer
12599968486,402650228,2021-04-23 09:55:58,2021-04-23 10:09:15,190.121.138.237,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Me enseñó los números decimales y yo no lo entendía pero entendi y aprendí mas,Aprendiendo números decimales,Aprendí algo nuevo,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,100,0,100,Felicidad,No se,Ninguna de las anteriores,5,8 a 10 años,Bachiller,Otro
12599968416,402650228,2021-04-23 09:53:29,2021-04-23 10:09:14,190.121.138.237,,,,,Sí,BOGOTÁ,Santa Teresita,te enseñó algo nuevo,"Esto me paso con la materia inglés: a mi me fascina la materia inglés y me emociona mucho cuando toca la materia a inglés, y me acuerdo una vez ,  que  el profesor que tocaba ingles , yo me aliste aora aprender algo nuevo y cuando logré entrar el profe dio al super chevere y me encanta ",# la clase de inglés,Me dio curiosidad por saber más,Conmigo mismo,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,65,50,50,Felicidad,Con frecuencia,Lo que hago en mi tiempo libre,6,11 a 13 años,Bachiller,Mujer
12599967079,402650228,2021-04-23 09:51:08,2021-04-23 10:09:03,181.55.188.138,,,,,No,VALLE DEL CAUCA,Santa Teresita,te confundió,"Lamentablemente me queda muy difícil aprender o tomar una idea de de la clase de sociales cuándo él profesor dicta y tengo que copiar, trato de entender pero no le entiendo ya qué habla mucho y casi no entiendo",No entiendo la clase de sociales clases muy monótonas ,Me sentí confundido/no entendí nada,Quienes me rodean,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,85,18,16,Esperanza,Todo el tiempo,La forma cómo los profesores enseñan,6,14 a 16 años,Bachiller,Mujer
12599965906,402650228,2021-04-23 09:51:12,2021-04-23 10:08:22,201.219.246.67,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Me gustó artística porque me pone muchas actividades bacanas ,Artística la mejor ,Aprendí algo nuevo,Quienes me rodean,Desarrollar mis habilidades,Ser más creativo,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,24,100,Felicidad,No se,La forma cómo los profesores enseñan,6,11 a 13 años,Bachiller,Mujer
12599964575,402650228,2021-04-23 09:51:53,2021-04-23 10:08:52,181.118.148.5,,,,,No,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Dibujar y pintar ,Artistica ,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,50,50,100,Felicidad,Una vez,La forma cómo los profesores enseñan,6,11 a 13 años,No se,Mujer
12599964335,402650228,2021-04-23 10:00:12,2021-04-23 10:09:07,190.147.183.133,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Me enseño a escuchar mas ,#aprendialgonuevo,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,100,30,100,Felicidad,Con frecuencia,El trabajo en equipo,5,11 a 13 años,Bachiller,Mujer
12599963040,402650228,2021-04-23 09:51:09,2021-04-23 10:07:37,190.108.76.129,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Me  dio curiosidad aprender mas ingles por que el profesor es muy motivador y es muy carismático.,Una buena enseñanza hace grades alumnos,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,0,0,Felicidad,Rara vez,La forma cómo los profesores enseñan,6,11 a 13 años,Técnico,Hombre
12599962591,402650228,2021-04-23 09:56:03,2021-04-23 10:07:35,186.144.137.66,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Estaba jugando con mis compañeros  y comensaron a recochar ,No al buyin,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,20,19,15,Angustia/Miedo,Todo el tiempo,Innovación / creatividad,5,11 a 13 años,Bachiller,Mujer
12599961768,402650228,2021-04-23 09:58:22,2021-04-23 10:07:52,204.199.90.207,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Voy a contarles mi historia el año pasado a mi me costaba un poco aprender el ingles pero este año e desarrollado mis abilidades como estudiante en el ingles y gracias a los docentes e podido entender mejor,Aprendiendo ingles,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,100,100,Felicidad,Rara vez,La forma cómo los profesores enseñan,6,11 a 13 años,Bachiller,Mujer
12599961159,402650228,2021-04-23 09:51:21,2021-04-23 10:08:20,181.129.173.146,,,,,Sí,CAUCA,Santa Teresita,te enseñó algo nuevo,Por qué nos evaluaron y  me. gustó mucho matemática,La era matemática,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,1,35,5,Felicidad,Una vez,Tecnología y herramientas digitales,5,8 a 10 años,Bachiller,Hombre
12599960164,402650228,2021-04-23 09:51:12,2021-04-23 10:08:00,190.121.139.4,,,,,No,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Fue cuando estaba en cuarto en donde a mis compañeros y a mi nos pusieron a dibujar dibujos que estaban hechos en las paredes era la área de artistica y cuando estuve dibujando mucho en esa asignatura me empezo a gustar mas dibujar y curiosidad de aprender a dibujar de otras formas etc.,Mis recuerdos,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,6,100,Esperanza,Rara vez,Innovación / creatividad,6,11 a 13 años,Técnico,Mujer
12599960060,402650228,2021-04-23 09:51:06,2021-04-23 10:06:42,190.108.76.76,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,Lo que pasa es que en la case de ingles se me hace muy fácil porque yo ya venia con conocimientos de ingles y estábamos viendo lo que yo ya sabia y me sirvió de repaso para que no se me olvidara.,la clase mas fácil de mi vida.,Me dio curiosidad por saber más,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Mostrarnos nuevos mundos y nuevas posibilidades,0,0,0,Felicidad,Una vez,Lo que hago en las horas de clase,6,11 a 13 años,Técnico,Hombre
12599958039,402650228,2021-04-23 09:51:20,2021-04-23 10:06:50,204.199.90.207,,,,,No,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,quiero aprender ms para ser alguien en la vida,aprendizaje,Me dio curiosidad por saber más,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,65,100,90,Felicidad,Todo el tiempo,Relación con la familia,6,8 a 10 años,Bachiller,Mujer
12599957074,402650228,2021-04-23 09:56:59,2021-04-23 10:06:09,201.219.246.67,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,un dia me paso que estaba en la clase de ciencias y me dio curiosidad que el agua no se mescla con el aceite de cocina ,la clase que mas curiosidad me dio,Aprendí algo nuevo,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,90,80,no está seguro,Con frecuencia,Ninguna de las anteriores,6,11 a 13 años,Bachiller,Hombre
12599956264,402650228,2021-04-23 09:56:16,2021-04-23 10:05:50,190.121.138.237,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,El ano pasado me pusieron a investigar sobre las plantas que habían muchas plantas de tod tipo y me gustó mucha esas esperiencias,Tipos de plantas,Me dio curiosidad por saber más,Mi país/el mundo,Desarrollar mis habilidades,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,49,100,Felicidad,Con frecuencia,Lo que hago en mi tiempo libre,5,8 a 10 años,Técnico,Hombre
12599955893,402650228,2021-04-23 09:53:11,2021-04-23 10:05:40,201.219.246.67,,,,,Sí,VALLE DEL CAUCA,Santa Teresita,te dio curiosidad por aprender más,La clase era de ingles me gusto por que aprende uno cosas nuevas y palabras que uno mas o menos sabia y no sabia pronunciarlas,La mejor clase,Me dio curiosidad por saber más,Mi país/el mundo,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Ayudarnos a alcanzar lo que nos proponemos,19,32,92,Felicidad,Todo el tiempo,Innovación / creatividad,5,8 a 10 años,Bachiller,Hombre
12599954784,402650228,2021-04-23 09:57:11,2021-04-23 10:05:33,190.147.183.133,,,,,No,VALLE DEL CAUCA,Santa Teresita,te enseñó algo nuevo,Me gusta  la clases de matemáticas por qué me gista como la profe  lo esplica ,La clase de matemáticas de mi vida ,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,0,0,100,Felicidad,No se,La forma cómo los profesores enseñan,5,8 a 10 años,Bachiller,Mujer
